"year","nbdsf","nddsf","vbdsf","vddsf","prate","dlwrf","pres","hgt","ugrd","vgrd","sh","tmp"
"1900",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1901",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1902",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1903",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1904",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1905",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1906",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1907",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1908",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1909",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1910",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1911",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1912",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1913",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1914",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1915",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1916",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1917",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1918",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1919",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1920",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1921",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1922",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1923",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1924",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1925",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1926",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1927",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1928",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1929",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1930",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1931",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1932",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1933",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1934",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1935",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1936",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1937",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1938",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1939",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1940",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1941",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1942",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1943",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1944",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1945",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1946",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1947",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1948",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1949",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1950",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1951",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1952",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1953",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1954",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1955",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1956",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1957",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1958",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1959",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1960",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1961",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1962",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
