"year","nbdsf","nddsf","vbdsf","vddsf","prate","dlwrf","pres","hgt","ugrd","vgrd","sh","tmp"
"1900",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1901",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1902",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1903",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1904",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1905",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1906",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1907",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1908",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1909",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1910",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1911",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1912",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1913",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1914",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1915",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1916",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1917",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1918",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1919",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1920",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1921",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
