"year","nbdsf","nddsf","vbdsf","vddsf","prate","dlwrf","pres","hgt","ugrd","vgrd","sh","tmp"
"1900",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1901",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1902",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1903",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1904",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1905",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1906",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1907",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1908",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1909",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1910",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1911",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1912",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1913",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1914",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1915",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1916",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1917",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1918",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1919",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1920",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1921",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1922",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1923",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1924",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1925",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1926",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
